no,refer,ID,references,country,latitude,longitude,family,genus,specificEpithet
134,gbif,694195057,,Singapore,,,Leucobryaceae,Leucobryum,
135,gbif,694195056,,Malaysia,,,Leucobryaceae,Leucobryum,
136,gbif,694195055,,Singapore,,,Leucobryaceae,Leucobryum,
137,gbif,694194344,,Laos,,,Leucobryaceae,Leucobryum,
138,gbif,694194343,,Myanmar,,,Leucobryaceae,Leucobryum,
139,gbif,694192621,,Cambodia,,,Leucobryaceae,Leucobryum,
140,gbif,694185161,,South Korea,,,Leucobryaceae,Leucobryum,
141,gbif,694185159,,Vietnam,,,Leucobryaceae,Leucobryum,
142,gbif,694185157,,Vietnam,,,Leucobryaceae,Leucobryum,
143,gbif,694185156,,Vietnam,,,Leucobryaceae,Leucobryum,
144,gbif,694185155,,Vietnam,,,Leucobryaceae,Leucobryum,
145,gbif,694185154,,Vietnam,,,Leucobryaceae,Leucobryum,
146,gbif,694185153,,Vietnam,,,Leucobryaceae,Leucobryum,
147,gbif,694185152,,Vietnam,,,Leucobryaceae,Leucobryum,
148,gbif,624037696,,Japan,35.81156111,140.0717333,Leucobryaceae,Leucobryum,juniperoideum
149,gbif,624037680,,Japan,35.79489722,140.0842306,Leucobryaceae,Leucobryum,juniperoideum
150,gbif,624037653,,Japan,35.09498611,139.8717722,Leucobryaceae,Leucobryum,juniperoideum
151,gbif,624037616,,Japan,35.20330556,139.9967556,Leucobryaceae,Leucobryum,juniperoideum
152,gbif,624037603,,Japan,35.21163889,140.0092556,Leucobryaceae,Leucobryum,juniperoideum
153,gbif,624037588,,Japan,35.15331389,140.0092583,Leucobryaceae,Leucobryum,scabrum
154,gbif,624037579,,Japan,35.20330556,140.0092556,Leucobryaceae,Leucobryum,juniperoideum
155,gbif,624037576,,Japan,35.20330556,140.0092556,Leucobryaceae,Leucobryum,juniperoideum
156,gbif,624037562,,Japan,35.16997778,140.0092556,Leucobryaceae,Leucobryum,juniperoideum
157,gbif,624037546,,Japan,35.09498611,139.8717722,Leucobryaceae,Leucobryum,juniperoideum
158,gbif,624037534,,Japan,35.16164722,140.1342472,Leucobryaceae,Leucobryum,scabrum
159,gbif,624037497,,Japan,35.14498056,140.1467444,Leucobryaceae,Leucobryum,juniperoideum
160,gbif,624037488,,Japan,35.26162778,139.8592694,Leucobryaceae,Leucobryum,juniperoideum
161,gbif,624037460,,Japan,35.35328333,140.0092528,Leucobryaceae,Leucobryum,juniperoideum
162,gbif,624037455,,Japan,35.39494444,140.0717472,Leucobryaceae,Leucobryum,juniperoideum
163,gbif,624037449,,Japan,35.35328333,139.9967556,Leucobryaceae,Leucobryum,juniperoideum
164,gbif,624037420,,Japan,35.51159722,140.271725,Leucobryaceae,Leucobryum,juniperoideum
165,gbif,624037380,,Japan,35.169975,139.9217639,Leucobryaceae,Leucobryum,juniperoideum
166,gbif,624037371,,Japan,35.40327778,140.1717417,Leucobryaceae,Leucobryum,juniperoideum
167,gbif,624037354,,Japan,35.20330833,140.1842417,Leucobryaceae,Leucobryum,juniperoideum
168,gbif,624037341,,Japan,35.22830278,140.1967417,Leucobryaceae,Leucobryum,juniperoideum
169,gbif,624037335,,Japan,35.15331111,139.8967667,Leucobryaceae,Leucobryum,juniperoideum
170,gbif,624037332,,Japan,35.169975,139.9217639,Leucobryaceae,Leucobryum,juniperoideum
171,gbif,624037321,,Japan,35.11165,140.0217583,Leucobryaceae,Leucobryum,juniperoideum
172,gbif,624037319,,Japan,35.16164722,140.1467444,Leucobryaceae,Leucobryum,juniperoideum
173,gbif,624037318,,Japan,35.16164722,140.1467444,Leucobryaceae,Leucobryum,juniperoideum
174,gbif,624037317,,Japan,35.16164722,140.1467444,Leucobryaceae,Leucobryum,juniperoideum
175,gbif,624037313,,Japan,35.22830278,140.2217389,Leucobryaceae,Leucobryum,juniperoideum
176,gbif,624037292,,Japan,35.18664167,140.1592444,Leucobryaceae,Leucobryum,juniperoideum
177,gbif,624037258,,Japan,35.15331111,139.821775,Leucobryaceae,Leucobryum,juniperoideum
178,gbif,624037254,,Japan,35.16164167,139.821775,Leucobryaceae,Leucobryum,juniperoideum
179,gbif,624037248,,Japan,35.15331111,139.8717694,Leucobryaceae,Leucobryum,juniperoideum
